ODS_Available,CSV_Hybrid_Available,Difference
38,11,27
49,13,36
63,15,48
60,16,44
97,4,93
98,9,89
98,12,86
101,16,85
107,15,92
92,7,85
83,7,76
32,8,24
28,4,24
7,7,0
19,9,10
38,14,24
8,14,-6
15,24,-9
24,32,-8
30,15,15
15,30,-15
31,8,23
41,87,-46
36,94,-58
36,48,-12
51,14,37
61,11,50
63,8,55
65,10,55
66,6,60
67,9,58
67,6,61
67,12,55
67,17,50
93,12,81
88,13,75
111,13,98
110,13,97
110,21,89
125,29,96
128,28,100
134,51,83
141,124,17
141,142,-1
114,145,-31
112,204,-92
125,207,-82
129,218,-89
130,226,-96
135,215,-80
141,212,-71
151,149,2
154,119,35
154,137,17
154,121,33
174,125,49
175,146,29
159,149,10
171,126,45
187,143,44
183,139,44
189,152,37
189,143,46
188,145,43
202,132,70
204,135,69
210,143,67
212,192,20
247,189,58
241,191,50
241,193,48
235,199,36
233,178,55
276,188,88
277,183,94
192,179,13
199,171,28
216,201,15
216,228,-12
217,154,63
216,153,63
209,130,79
144,102,42
143,35,108
145,11,134
146,13,133
146,12,134
138,10,128
111,20,91
68,20,48
67,30,37
70,30,40
71,34,37
74,31,43
76,30,46
89,32,57
88,35,53
102,10,92
102,9,93
130,8,122
142,11,131
142,6,136
152,5,147
177,3,174
161,4,157
147,10,137
113,6,107
69,6,63
20,6,14
11,11,0
11,8,3
14,5,9
10,11,-1
10,12,-2
12,18,-6
10,29,-19
9,24,-15
8,11,-3
9,11,-2
10,13,-3
10,48,-38
9,15,-6
9,8,1
10,3,7
16,5,11
10,19,-9
10,0,10
9,3,6
16,3,13
13,20,-7
15,23,-8
18,80,-62
8,60,-52
11,69,-58
12,93,-81
12,115,-103
15,124,-109
7,146,-139
7,154,-147
7,153,-146
10,153,-143
16,162,-146
27,167,-140
31,170,-139
12,174,-162
25,175,-150
26,163,-137
21,159,-138
36,150,-114
36,171,-135
14,148,-134
22,149,-127
57,134,-77
61,147,-86
64,178,-114
75,170,-95
85,162,-77
21,173,-152
18,206,-188
7,204,-197
9,187,-178
8,152,-144
11,151,-140
5,154,-149
4,170,-166
6,189,-183
6,185,-179
5,190,-185
6,165,-159
6,166,-160
11,126,-115
12,83,-71
11,67,-56
15,59,-44
23,56,-33
23,38,-15
23,31,-8
14,32,-18
8,69,-61
8,23,-15
10,14,-4
11,28,-17
7,33,-26
