ODS_Available,CSV_Hybrid_Available,Difference
38,11,27
49,0,49
63,60,3
60,18,42
97,26,71
98,75,23
98,44,54
101,37,64
107,0,107
92,51,41
83,0,83
32,0,32
28,56,-28
7,23,-16
19,0,19
38,0,38
8,0,8
15,0,15
24,0,24
30,0,30
15,0,15
31,0,31
41,39,2
36,109,-73
36,81,-45
51,0,51
61,17,44
63,18,45
65,28,37
66,28,38
67,22,45
67,64,3
67,0,67
67,75,-8
93,62,31
88,36,52
111,0,111
110,78,32
110,6,104
125,11,114
128,4,124
134,45,89
141,76,65
141,171,-30
114,106,8
112,134,-22
125,185,-60
129,230,-101
130,186,-56
135,245,-110
141,222,-81
151,137,14
154,194,-40
154,190,-36
154,157,-3
174,185,-11
175,181,-6
159,173,-14
171,129,42
187,143,44
183,182,1
189,135,54
189,162,27
188,141,47
202,140,62
204,118,86
210,121,89
212,116,96
247,188,59
241,150,91
241,133,108
235,188,47
233,127,106
276,154,122
277,257,20
192,185,7
199,187,12
216,166,50
216,257,-41
217,204,13
216,142,74
209,169,40
144,68,76
143,90,53
145,0,145
146,0,146
146,0,146
138,0,138
111,0,111
68,22,46
67,0,67
70,0,70
71,0,71
74,0,74
76,0,76
89,0,89
88,0,88
102,0,102
102,0,102
130,0,130
142,0,142
142,0,142
152,0,152
177,0,177
161,0,161
147,54,93
113,77,36
69,3,66
20,0,20
11,0,11
11,0,11
14,0,14
10,0,10
10,0,10
12,0,12
10,12,-2
9,1,8
8,0,8
9,0,9
10,0,10
10,26,-16
9,0,9
9,61,-52
10,41,-31
16,75,-59
10,63,-53
10,79,-69
9,44,-35
16,42,-26
13,68,-55
15,91,-76
18,92,-74
8,67,-59
11,102,-91
12,43,-31
12,66,-54
15,19,-4
7,115,-108
7,58,-51
7,105,-98
10,46,-36
16,157,-141
27,159,-132
31,177,-146
12,86,-74
25,103,-78
26,103,-77
21,196,-175
36,185,-149
36,152,-116
14,149,-135
22,182,-160
57,192,-135
61,142,-81
64,251,-187
75,164,-89
85,91,-6
21,148,-127
18,222,-204
7,117,-110
9,144,-135
8,93,-85
11,101,-90
5,63,-58
4,60,-56
6,105,-99
6,159,-153
5,170,-165
6,150,-144
6,112,-106
11,68,-57
12,43,-31
11,77,-66
15,107,-92
23,92,-69
23,146,-123
23,88,-65
14,32,-18
8,50,-42
8,0,8
10,1,9
11,43,-32
7,81,-74
