ODS_Available,CSV_Hybrid_Available,Difference
38,90,-52
49,96,-47
63,102,-39
60,106,-46
97,109,-12
98,114,-16
98,119,-21
101,124,-23
107,126,-19
92,123,-31
83,111,-28
32,100,-68
28,90,-62
7,86,-79
19,84,-65
38,80,-42
8,82,-74
15,82,-67
24,81,-57
30,81,-51
15,83,-68
31,87,-56
41,90,-49
36,94,-58
36,85,-49
51,92,-41
61,98,-37
63,103,-40
65,106,-41
66,111,-45
67,117,-50
67,123,-56
67,125,-58
67,126,-59
93,125,-32
88,121,-33
111,115,-4
110,113,-3
110,114,-4
125,114,11
128,118,10
134,120,14
141,118,23
141,120,21
114,124,-10
112,129,-17
125,134,-9
129,140,-11
130,119,11
135,128,7
141,137,4
151,141,10
154,146,8
154,153,1
154,161,-7
174,169,5
175,173,2
159,175,-16
171,180,-9
187,182,5
183,184,-1
189,186,3
189,189,0
188,199,-11
202,214,-12
204,215,-11
210,218,-8
212,219,-7
247,221,26
241,225,16
241,227,14
235,231,4
233,204,29
276,210,66
277,215,62
192,218,-26
199,216,-17
216,219,-3
216,223,-7
217,225,-8
216,225,-9
209,217,-8
144,189,-45
143,171,-28
145,158,-13
146,152,-6
146,134,12
138,127,11
111,122,-11
68,117,-49
67,118,-51
70,121,-51
71,120,-49
74,118,-44
76,115,-39
89,116,-27
88,158,-70
102,162,-60
102,165,-63
130,167,-37
142,168,-26
142,170,-28
152,174,-22
177,177,0
161,178,-17
147,170,-23
113,157,-44
69,141,-72
20,130,-110
11,126,-115
11,109,-98
14,104,-90
10,102,-92
10,100,-90
12,100,-88
10,101,-91
9,103,-94
8,103,-95
9,103,-94
10,108,-98
10,148,-138
9,155,-146
9,161,-152
10,166,-156
16,169,-153
10,174,-164
10,180,-170
9,185,-176
16,188,-172
13,182,-169
15,170,-155
18,157,-139
8,146,-138
11,143,-132
12,140,-128
12,135,-123
15,136,-121
7,135,-128
7,134,-127
7,134,-127
10,135,-125
16,134,-118
27,134,-107
31,137,-106
12,159,-147
25,164,-139
26,169,-143
21,172,-151
36,174,-138
36,177,-141
14,182,-168
22,185,-163
57,187,-130
61,181,-120
64,168,-104
75,155,-80
85,144,-59
21,140,-119
18,136,-118
7,131,-124
9,133,-124
8,132,-124
11,130,-119
5,130,-125
4,130,-126
6,135,-129
6,138,-132
5,141,-136
6,159,-153
6,165,-159
11,170,-159
12,174,-162
11,177,-166
15,181,-166
23,186,-163
23,190,-167
23,192,-169
14,188,-174
8,177,-169
8,165,-157
10,154,-144
11,150,-139
7,148,-141
